Diameter,Tolerance,E11,E10,E9,E8,E7,F11,F10,F9,F8,F7,F6,G10,G9,G8,G7,G6,G5,J8,J7,J6,J5,H16,H15,H14,H13,H12,H11,H10,H9,H8,H7,H6,H5,H4,H3,H2,H1,JS16,JS15,JS14,JS13,JS12,JS11,JS10,JS9,JS8,JS7,JS6,JS5,JS4,JS3,JS2,JS1,K9,K8,K7,K6,K5,K4,M9,M8,M7,M6,M5,M4,N9,N8,N7,N6,N5,N4,P9,P8,P7,P6,P5,P4,R9,R8,R7,R6,R5,R4,S9,S8,S7,S6,S5,S4
OVER,0,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.006,0.004,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.125,0.07,0.05,0.03,0.02,0.0125,0.007,0.005,0.003,0.002,0.0015,0.001,0.0006,0.0004,0.025,0.014,0.01,0.006,0.004,0.003,0.027,0.016,0.012,0.008,0.006,0.005,0.029,0.018,0.014,0.01,0.008,0.007,0.031,0.02,0.016,0.012,0.01,0.009,0.035,0.024,0.02,0.016,0.014,0.013,0.039,0.028,0.024,0.02,0.018,0.017
TO,3,-0.074,-0.054,-0.039,-0.028,-0.024,-0.02,-0.046,-0.031,-0.02,-0.016,-0.012,-0.01,-0.027,-0.016,-0.012,-0.008,-0.006,-0.005,-0.004,-0.002,-0.002,-0.6,-0.4,-0.25,-0.14,-0.1,-0.06,-0.04,-0.025,-0.014,-0.01,-0.006,-0.004,-0.003,-0.002,-0.0012,-0.0008,-0.3,-0.2,-0.125,-0.07,-0.05,-0.03,-0.02,-0.0125,-0.007,-0.005,-0.003,-0.002,-0.0015,-0.001,-0.0006,-0.0004,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.006,0.006,0.006,0.006,0.006,0.01,0.01,0.01,0.01,0.01,0.01,0.014,0.014,0.014,0.014,0.014,0.014
OVER,3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,0.008,0.006,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.24,0.15,0.09,0.06,0.0375,0.024,0.015,0.009,0.006,0.004,0.0025,0.002,0.00125,0.00075,0.0005,0.03,0.018,0.013,0.009,0.006,0.005,0.034,0.022,0.016,0.012,0.009,0.008,0.038,0.026,0.02,0.016,0.013,0.012,0.042,0.03,0.024,0.02,0.017,0.016,0.045,0.033,0.027,0.023,0.02,0.019,0.049,0.037,0.031,0.027,0.024,0.023
TO,6,-0.095,-0.068,-0.05,-0.038,-0.032,-0.028,-0.058,-0.04,-0.028,-0.022,-0.018,-0.015,-0.034,-0.022,-0.016,-0.012,-0.009,-0.008,-0.004,-0.002,-0.002,-0.75,-0.48,-0.3,-0.18,-0.12,-0.075,-0.048,-0.03,-0.018,-0.012,-0.008,-0.005,-0.004,-0.003,-0.0015,-0.001,-0.375,-0.24,-0.15,-0.09,-0.06,-0.0375,-0.024,-0.015,-0.009,-0.006,-0.004,-0.0025,-0.002,-0.00125,-0.00075,-0.0005,0,0,0.001,0.001,0.001,0.001,0.004,0.004,0.004,0.004,0.004,0.004,0.008,0.008,0.008,0.008,0.008,0.008,0.012,0.012,0.012,0.012,0.012,0.012,0.015,0.015,0.015,0.015,0.015,0.015,0.019,0.019,0.019,0.019,0.019,0.019
OVER,6,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,0.01,0.007,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.29,0.18,0.11,0.075,0.045,0.029,0.018,0.011,0.0075,0.0045,0.003,0.002,0.00125,0.00075,0.0005,0.036,0.022,0.016,0.01,0.007,0.005,0.042,0.028,0.021,0.015,0.012,0.01,0.046,0.032,0.025,0.019,0.016,0.014,0.051,0.037,0.03,0.024,0.021,0.019,0.055,0.041,0.034,0.028,0.025,0.023,0.059,0.045,0.038,0.032,0.029,0.027
TO,10,-0.115,-0.083,-0.061,-0.047,-0.04,-0.034,-0.071,-0.049,-0.035,-0.028,-0.022,-0.019,-0.041,-0.027,-0.02,-0.014,-0.011,-0.009,-0.005,-0.002,-0.002,-0.9,-0.58,-0.36,-0.22,-0.15,-0.09,-0.058,-0.036,-0.022,-0.015,-0.009,-0.006,-0.004,-0.003,-0.0015,-0.001,-0.45,-0.29,-0.18,-0.11,-0.075,-0.045,-0.029,-0.018,-0.011,-0.0075,-0.0045,-0.003,-0.002,-0.00125,-0.00075,-0.0005,0,0,0.001,0.001,0.001,0.001,0.006,0.006,0.006,0.006,0.006,0.006,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.015,0.015,0.015,0.015,0.019,0.019,0.019,0.019,0.019,0.019,0.023,0.023,0.023,0.023,0.023,0.023
OVER,10,-0.032,-0.032,-0.032,-0.032,-0.032,-0.032,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,0.012,0.008,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.35,0.215,0.135,0.09,0.055,0.035,0.0215,0.0135,0.009,0.0055,0.004,0.0025,0.0015,0.001,0.0006,0.043,0.027,0.019,0.012,0.009,0.006,0.05,0.034,0.025,0.018,0.015,0.012,0.055,0.039,0.03,0.023,0.02,0.017,0.061,0.045,0.036,0.029,0.026,0.023,0.066,0.05,0.041,0.034,0.031,0.028,0.071,0.055,0.046,0.039,0.036,0.033
TO,14,-0.142,-0.102,-0.075,-0.059,-0.05,-0.043,-0.086,-0.059,-0.043,-0.034,-0.027,-0.024,-0.049,-0.033,-0.024,-0.017,-0.014,-0.011,-0.006,-0.003,-0.003,-1.1,-0.7,-0.43,-0.27,-0.18,-0.11,-0.07,-0.043,-0.027,-0.018,-0.011,-0.008,-0.005,-0.003,-0.002,-0.0012,-0.55,-0.35,-0.215,-0.135,-0.09,-0.055,-0.035,-0.0215,-0.0135,-0.009,-0.0055,-0.004,-0.0025,-0.0015,-0.001,-0.0006,0,0,0.001,0.001,0.001,0.001,0.007,0.007,0.007,0.007,0.007,0.007,0.012,0.012,0.012,0.012,0.012,0.012,0.018,0.018,0.018,0.018,0.018,0.018,0.023,0.023,0.023,0.023,0.023,0.023,0.028,0.028,0.028,0.028,0.028,0.028
OVER,14,-0.032,-0.032,-0.032,-0.032,-0.032,-0.032,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,0.012,0.008,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.35,0.215,0.135,0.09,0.055,0.035,0.0215,0.0135,0.009,0.0055,0.004,0.0025,0.0015,0.001,0.0006,0.043,0.027,0.019,0.012,0.009,0.006,0.05,0.034,0.025,0.018,0.015,0.012,0.055,0.039,0.03,0.023,0.02,0.017,0.061,0.045,0.036,0.029,0.026,0.023,0.066,0.05,0.041,0.034,0.031,0.028,0.071,0.055,0.046,0.039,0.036,0.033
TO,18,-0.142,-0.102,-0.075,-0.059,-0.05,-0.043,-0.086,-0.059,-0.043,-0.034,-0.027,-0.024,-0.049,-0.033,-0.024,-0.017,-0.014,-0.011,-0.006,-0.003,-0.003,-1.1,-0.7,-0.43,-0.27,-0.18,-0.11,-0.07,-0.043,-0.027,-0.018,-0.011,-0.008,-0.005,-0.003,-0.002,-0.0012,-0.55,-0.35,-0.215,-0.135,-0.09,-0.055,-0.035,-0.0215,-0.0135,-0.009,-0.0055,-0.004,-0.0025,-0.0015,-0.001,-0.0006,0,0,0.001,0.001,0.001,0.001,0.007,0.007,0.007,0.007,0.007,0.007,0.012,0.012,0.012,0.012,0.012,0.012,0.018,0.018,0.018,0.018,0.018,0.018,0.023,0.023,0.023,0.023,0.023,0.023,0.028,0.028,0.028,0.028,0.028,0.028
